file,page,caption,text
1-introduction.pdf,0,"There is no technical content visible on this slide. It contains no concepts, equations, algorithms, or model architectures related to ML or NLP. The slide appears to be a background or title slide without instructional material.","CIS 6930 Special Topics in Large Language Models
Overview & Introduction"
1-introduction.pdf,1,"The slide contains only the text ""UNIVERSITY OF FLORIDA HERBERT WERTHEIM COLLEGE OF ENGINEERING"". This is an institutional name and not related to any specific ML/NLP technical content, concepts, algorithms, or architectures. There are no technical details to explain on the slide.","2
Introduction about myself
Yuanyuan Lei
Assistant Professor
Department of Computer and Information Science and Engineering
Research Area: Natural Language Processing, Large Language Models
Personal website: https://sites.google.com/view/yuanyuan-lei"
1-introduction.pdf,2,"The slide contains only the name ""UNIVERSITY OF FLORIDA HERBERT WERTHEIM COLLEGE OF ENGINEERING."" There is no technical content related to machine learning, natural language processing, algorithms, or related concepts present on this slide.","3
Introduction about the course
Fall 2025, MWF 11:45am – 12:35am at CSE E222 
Instructor
▪Yuanyuan Lei (yuanyuan.lei@ufl.edu)
▪Office Hours: Friday 1:30pm – 2:30pm, Malachowsky Hall 3108, or 
Zoom https://ufl.zoom.us/my/yuanyuan.lei
TA
▪Zixuan Wang (zwang10@ufl.edu) 
▪Office Hours: Friday 3pm – 4pm, Malachowsky Hall 5200, or Zoom 
https://us05web.zoom.us/j/83030672462?pwd=cgo2rzJOTYX3aGVvc
GHvDzvBIubznQ.1 (Meeting ID: 830 3067 2462 Passcode: 6Utsg9)"
1-introduction.pdf,3,"The text ""UNIVERSITY OF FLORIDA HERBERT WERTHEIM COLLEGE OF ENGINEERING"" is just an institutional title and does not contain any technical content related to machine learning, natural language processing, or related algorithms. There are no concepts, equations, or architectures presented on this slide that pertain to ML or NLP.","4
Outline of this lecture
▪What is Large Language Models
  (language model, large language model)
▪Why we study Large Language Models
  (capabilities, limitations)
▪How will we study Large Language Models
  (course content, grading components etc.)"
1-introduction.pdf,4,"The content in the image is a header or title line reading ""UNIVERSITY OF FLORIDA HERBERT WERTHEIM COLLEGE OF ENGINEERING."" It does not contain any technical concepts, algorithms, equations, architectures, or relationships relevant to machine learning, natural language processing, or similar fields. Therefore, there is no technical content to explain on this slide.","5
Large Language Models"
1-introduction.pdf,5,"The slide only contains the text ""UNIVERSITY OF FLORIDA HERBERT WERTHEIM COLLEGE OF ENGINEERING"" and does not present any technical content, concepts, algorithms, equations, or architectures related to machine learning or natural language processing. Therefore, there is no relevant technical material to explain from this slide.","6
Large Language Models
Large Language Models can be your helpful assistant
▪Writing (draft essays, reports, blog posts, improve language)
▪Learning (explain concepts, search information, summarize)
▪Creativity (brainstorm ideas, generate poems)
▪Even for fun (give recommendations for book, movie, music)
▪and many …"
1-introduction.pdf,6,"The content on the slide appears to be just the name of a college, specifically the ""University of Florida Herbert Wertheim College of Engineering."" There are no technical concepts, algorithms, equations, architectures, or NLP/ML-related content presented on this slide. Therefore, there is no technical explanation relevant to machine learning or natural language processing to provide.","7
What is Language Models
Language Models (LM) is a probability distribution over sequences of 
tokens. Suppose we have a vocabulary 𝑉 of a set of tokens. LM 𝑝 
assigns each sequence of tokens 𝑤1, … , 𝑤𝑛∈𝑉 a probability
𝑝(𝑤1, … , 𝑤𝑛)
This probability intuitively tells us how “good” a sequence of tokens is.
Example:
p(the, mouse, ate, the, cheese) = 0.02
p(the, cheese, ate, the, mouse) = 0.01
p(mouse, the, the, cheese, ate) = 0.0001"
1-introduction.pdf,7,"The slide contains only the text identification of an institution—""University of Florida Herbert Wertheim College of Engineering""—and does not present any technical content related to machine learning or natural language processing concepts, algorithms, equations, architectures, or relationships. Please provide a different slide or additional content for detailed technical explanation.","8
What is Language Models
LM should have the ability to assign meaningful probability to all 
sequences, which requires sophisticated (but implicit) linguistic abilities 
and world knowledge.
Example:
p(the, mouse, ate, the, cheese) = 0.02 -> higher prob, world knowledge
p(the, cheese, ate, the, mouse) = 0.01
p(mouse, the, the, cheese, ate) = 0.0001 -> ungrammatical, syntactic 
knowledge"
1-introduction.pdf,8,"The slide contains no technical content related to machine learning or natural language processing concepts, algorithms, equations, or architectures. It only displays the text ""UNIVERSITY OF FLORIDA HERBERT WERTHEIM COLLEGE OF ENGINEERING,"" which appears to be an institutional affiliation or title, not technical material.","9
What is Language Models
LM takes a sequence and returns a probability to assess its goodness.
𝑝𝑤1, … , 𝑤𝑛
= p 𝑤1  ∗ 𝑝𝑤2 𝑤1  ∗𝑝𝑤3 𝑤1, 𝑤2 ∗ … ∗𝑝(𝑤𝑛|𝑤1, 𝑤2, … , 𝑤𝑛−1)
p(cat sat on the mat) = p(cat) * p(sat | cat) * p(on | cat sat) * 
 
 
 
 
p(the | cat sat on) * p(mat | cat sat on the)"
1-introduction.pdf,9,"The slide content is just a text header indicating the university and college name: ""University of Florida Herbert Wertheim College of Engineering."" It does not contain any technical content related to machine learning, natural language processing, algorithms, or architectures.","10
What is Language Models
▪LM takes a sequence and returns a probability to assess its goodness 
▪We can also generate a sequence given a LM, usually by generating the 
next tokens given previous tokens"
1-introduction.pdf,10,"The slide contains no technical content related to machine learning or natural language processing. It only shows the text ""UNIVERSITY OF FLORIDA HERBERT WERTHEIM COLLEGE OF ENGINEERING,"" which indicates an institutional affiliation but no technical concepts, algorithms, equations, or architectures are presented.","11
What is Large Language Models
Model parameters 𝜃 plays an important roles"
1-introduction.pdf,11,"This slide contains no technical content related to ML/NLP concepts, algorithms, equations, architectures, or related topics. It only displays the name of an institution: ""University of Florida Herbert Wertheim College of Engineering.""","12
How large are LLM"
1-introduction.pdf,12,"The slide contains only the text ""UNIVERSITY OF FLORIDA HERBERT WERTHEIM COLLEGE OF ENGINEERING."" There is no technical content, concepts, algorithms, equations, or architectures related to ML or NLP presented on this slide.","13
What is Large Language Models
▪Small models: under 100 million parameters (useful for lightweight 
tasks, edge devices, or fine-tuning)
▪Medium models: 100M – 1B parameters (comparable to early 
transformer models like BERT-base)
▪Large models: 1B – 10B parameters (often considered “large” in many 
research papers).
▪Very large models: 10B – 100B parameters (models like GPT-3 with 
175B fall here).
▪Frontier-scale models: 100B+ parameters (GPT-4, Claude 3, Gemini 
1.5 Pro, etc.)."
1-introduction.pdf,13,"The slide contains only the text ""UNIVERSITY OF FLORIDA HERBERT WERTHEIM COLLEGE OF ENGINEERING"" and does not include any technical content related to machine learning, natural language processing, or other relevant algorithms and concepts. Therefore, there are no technical concepts, algorithms, equations, architectures, or relationships to explain from this slide.","14
Why study Large Language Models
▪Reason 1: Capability
One single model to solve many NLP tasks
recall conditional generation:"
